obs.no,agent_x,agent_y,gem_x,gem_y,rewards,action
324,250,200,200,200,-50.0,1
325,200,200,200,200,10000.0,3
326,250,200,200,200,-50.0,1
327,200,200,200,200,10000.0,3
328,250,200,200,200,-50.0,1
329,200,200,200,200,10000.0,3
330,250,200,200,200,-50.0,1
331,200,200,200,200,10000.0,3
332,200,250,200,200,-50.0,0
333,200,200,200,200,10000.0,2
334,250,200,200,200,-50.0,1
335,200,200,200,200,10000.0,3
336,200,250,200,200,-50.0,0
337,200,200,200,200,10000.0,2
338,250,200,200,200,-50.0,1
339,200,200,200,200,10000.0,3
340,150,200,200,200,-50.0,3
341,200,200,200,200,10000.0,1
342,200,250,200,200,-50.0,0
343,200,200,200,200,10000.0,2
344,250,200,200,200,-50.0,1
345,200,200,200,200,10000.0,3
346,200,250,200,200,-50.0,0
347,200,200,200,200,10000.0,2
348,150,200,200,200,-50.0,3
349,200,200,200,200,10000.0,1
350,250,200,200,200,-50.0,1
351,200,200,200,200,10000.0,3
352,250,200,200,200,-50.0,1
353,200,200,200,200,10000.0,3
354,250,200,200,200,-50.0,1
355,200,200,200,200,10000.0,3
356,200,250,200,200,-50.0,0
357,200,200,200,200,10000.0,2
358,150,200,200,200,-50.0,3
359,200,200,200,200,10000.0,1
360,250,200,200,200,-50.0,1
361,200,200,200,200,10000.0,3
362,200,250,200,200,-50.0,0
363,200,200,200,200,10000.0,2
364,250,200,200,200,-50.0,1
365,200,200,200,200,10000.0,3
366,200,250,200,200,-50.0,0
367,200,200,200,200,10000.0,2
368,200,250,200,200,-50.0,0
369,200,200,200,200,10000.0,2
370,250,200,200,200,-50.0,1
371,200,200,200,200,10000.0,3
372,200,150,200,200,-50.0,2
373,200,200,200,200,10000.0,0
374,200,150,200,200,-50.0,2
375,200,200,200,200,10000.0,0
376,250,200,200,200,-50.0,1
377,200,200,200,200,10000.0,3
378,250,200,200,200,-50.0,1
379,200,200,200,200,10000.0,3
380,200,250,200,200,-50.0,0
381,200,200,200,200,10000.0,2
382,250,200,200,200,-50.0,1
383,200,200,200,200,10000.0,3
384,200,250,200,200,-50.0,0
385,200,200,200,200,10000.0,2
386,200,250,200,200,-50.0,0
387,200,200,200,200,10000.0,2
388,200,250,200,200,-50.0,0
389,200,200,200,200,10000.0,2
390,250,200,200,200,-50.0,1
391,200,200,200,200,10000.0,3
392,250,200,200,200,-50.0,1
393,200,200,200,200,10000.0,3
394,250,200,200,200,-50.0,1
395,200,200,200,200,10000.0,3
396,150,200,200,200,-50.0,3
397,200,200,200,200,10000.0,1
398,250,200,200,200,-50.0,1
399,200,200,200,200,10000.0,3
400,250,200,200,200,-50.0,1
401,200,200,200,200,10000.0,3
402,200,250,200,200,-50.0,0
403,250,250,200,200,-70.71067811865476,1
404,200,250,200,200,-50.0,3
405,200,200,200,200,10000.0,2
406,250,200,200,200,-50.0,1
407,200,200,200,200,10000.0,3
408,250,200,200,200,-50.0,1
409,200,200,200,200,10000.0,3
410,250,200,200,200,-50.0,1
411,200,200,200,200,10000.0,3
412,200,250,200,200,-50.0,0
413,200,200,200,200,10000.0,2
414,250,200,200,200,-50.0,1
415,200,200,200,200,10000.0,3
416,250,200,200,200,-50.0,1
417,200,200,200,200,10000.0,3
418,200,250,200,200,-50.0,0
419,200,200,200,200,10000.0,2
420,250,200,200,200,-50.0,1
421,200,200,200,200,10000.0,3
422,200,250,200,200,-50.0,0
423,200,200,200,200,10000.0,2
424,200,250,200,200,-50.0,0
425,200,200,200,200,10000.0,2
426,250,200,200,200,-50.0,1
427,200,200,200,200,10000.0,3
428,250,200,200,200,-50.0,1
429,200,200,200,200,10000.0,3
430,250,200,200,200,-50.0,1
431,200,200,200,200,10000.0,3
432,200,250,200,200,-50.0,0
433,200,200,200,200,10000.0,2
434,250,200,200,200,-50.0,1
435,200,200,200,200,10000.0,3
436,250,200,200,200,-50.0,1
437,200,200,200,200,10000.0,3
438,250,200,200,200,-50.0,1
439,200,200,200,200,10000.0,3
440,250,200,200,200,-50.0,1
441,200,200,200,200,10000.0,3
442,250,200,200,200,-50.0,1
443,200,200,200,200,10000.0,3
444,150,200,200,200,-50.0,3
445,200,200,200,200,10000.0,1
446,250,200,200,200,-50.0,1
447,200,200,200,200,10000.0,3
448,200,250,200,200,-50.0,0
449,200,200,200,200,10000.0,2
450,250,200,200,200,-50.0,1
451,200,200,200,200,10000.0,3
452,250,200,200,200,-50.0,1
453,200,200,200,200,10000.0,3
454,250,200,200,200,-50.0,1
455,200,200,200,200,10000.0,3
456,250,200,200,200,-50.0,1
457,200,200,200,200,10000.0,3
458,200,250,200,200,-50.0,0
459,200,200,200,200,10000.0,2
460,250,200,200,200,-50.0,1
461,200,200,200,200,10000.0,3
462,250,200,200,200,-50.0,1
463,200,200,200,200,10000.0,3
464,250,200,200,200,-50.0,1
465,200,200,200,200,10000.0,3
466,250,200,200,200,-50.0,1
467,200,200,200,200,10000.0,3
468,250,200,200,200,-50.0,1
469,200,200,200,200,10000.0,3
470,250,200,200,200,-50.0,1
471,200,200,200,200,10000.0,3
472,250,200,200,200,-50.0,1
473,200,200,200,200,10000.0,3
474,250,200,200,200,-50.0,1
475,200,200,200,200,10000.0,3
476,150,200,200,200,-50.0,3
477,200,200,200,200,10000.0,1
478,250,200,200,200,-50.0,1
479,200,200,200,200,10000.0,3
480,200,250,200,200,-50.0,0
481,200,200,200,200,10000.0,2
482,250,200,200,200,-50.0,1
483,200,200,200,200,10000.0,3
484,200,150,200,200,-50.0,2
485,200,200,200,200,10000.0,0
486,250,200,200,200,-50.0,1
487,200,200,200,200,10000.0,3
488,200,250,200,200,-50.0,0
489,200,200,200,200,10000.0,2
490,200,250,200,200,-50.0,0
491,200,200,200,200,10000.0,2
492,250,200,200,200,-50.0,1
493,200,200,200,200,10000.0,3
494,250,200,200,200,-50.0,1
495,200,200,200,200,10000.0,3
496,200,250,200,200,-50.0,0
497,200,200,200,200,10000.0,2
498,200,250,200,200,-50.0,0
